Dummy Policy No,ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,CORRESPONDENCECITY,CORRESPONDENCESTATE,CORRESPONDENCEPOSTCODE,Product Type,CHANNEL,Bank code,POLICYRISKCOMMENCEMENTDATE,Date of Death,INTIMATIONDATE,STATUS,SUB_STATUS,Fraud Category
1159.9519885355478,29.86039576584498,Sister,Service,3349340.128,417223.2177,Yearly,972309.7517,Single,Non Medical,15.712918691119103,9.866810662214316,Calcutta,West Bengal,700050,Traditional,Bancassurance,1.1499314051286051,4/9/2021 0:00,-,-,Cancellation,Other Reason,Signature Forgery
761.9271210350282,36.0,Son,Service,491939,45969,Yearly,1541742,divorced,Non Medical,30.0,20.0,GODDA,Delhi,489683,Traditional,Retail Agency,7.050436638,06/08/2014 0:00,-,-,Active,Paid-Up,No Fraud
950.2048408,62.10705319,Spouse,Retired,-129047.0001,203172.0451,Yearly,708014.4195,Married,Non Medical,14.52174346,9.99669183,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
1012.041512,53.55292167,Wife,Profession,1035557.725,109874.8143,Yearly,-2293613.74,Married,Non Medical,12.4222852,9.890028382,Kanpur,Uttar Pradesh,209121,ULIP,Bancassurance,0.952038376,9/3/2020 0:00,-,-,Lapse,Surrendered Reinvested Auto,Misappropriating Funds
1292.570925,49.33748353,Husband,Housewife,463708.001,62432.50639,Yearly,206621.5492,Married,Medical,15.41756889,9.986136409,Badaun,Uttar Pradesh,243635,Traditional,Retail Agency,,9/15/2023 0:00,-,-,Cancellation,Other Reason,Claims Fraud
1136.608488,29.97035884,Sister,Service,3359893.12,434535.7198,Yearly,279474.2078,Single,Non Medical,15.17424236,10.01739801,Calcutta,West Bengal,700050,Traditional,Bancassurance,0.95352254,4/9/2021 0:00,-,-,Cancellation,Other Reason,Signature Forgery
84.0155037196745,64.41089246266263,Nephew,Construction Labour,1057921,106531,Quarterly,4751403,widowed,Non Medical,33.05694281057799,12.83844074992222,Solan,Haryana,699498,Pension,Institutional Alliance,0.9425997913617512,09/09/2018 0:00,-,-,Inforce,Surrendered,No Fraud
932.1271965,59.82906078,Spouse,Retired,54669.94159,124919.8434,Yearly,-356936.8351,Married,Non Medical,16.10144342,10.17511452,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
1338.0357,45.2133225,Wife,Agriculturist,203998.1471,53950.32528,Quarterly,-535425.9484,Married,Medical,15.22080633,10.00425159,RAMPUR,Uttar Pradesh,244921,Traditional,Retail Agency,,10/11/2022 0:00,-,-,Cancellation,Other Reason,Impersonation
973.4904604,66.11606796,Wife,Retired,-50916.35386,454677.7005,Yearly,-1383621.229,Married,Non Medical,9.609209095,9.960881421,Thanjavur,Tamil Nadu,612001,ULIP,Bancassurance,0.901806687,1/18/2019 0:00,-,-,Cancellation,Other Reason,Misselling 
980.0,50.0,Husband,Service,0,100000,Yearly,720000,Married,Non Medical,15.0,10.0,Thane,Maharashtra,401303,ULIP,Retail Agency,,4/15/2021 0:00,-,-,Lapse,Surrendered Reinvested Auto,Misappropriating Funds
1169.0,37.0,Wife,Business,840000,104500,Yearly,480000,Married,Non Medical,15.0,10.0,NORTH TRIPURA,Tripura,799250,Traditional,Institutional Alliance,,1/28/2022 0:00,-,-,Cancellation,Other Reason,Unauthorized activity
1002.9672449274044,60.358640388009455,Spouse,Retired,-159062.6443,166979.0698,Yearly,1204625.421,Married,Non Medical,13.85029695952905,10.122669620179474,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
950.2048408,62.10705319,Spouse,Retired,-129047.0001,203172.0451,Yearly,708014.4195,Married,Non Medical,14.52174346,9.99669183,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
1298.79129,48.77698378,Spouse,Service,200428.3643,-24102.43923,Yearly,1012087.081,Married,Non Medical,11.32844178,10.0118149,DARRONG,Assam,784147,Traditional,Bancassurance,1.122600727,3/12/2015 0:00,11/11/2015 0:00,4/20/2016 13:21,Claim,Death Claim Paid,Claims Fraud
298.8050076454387,29.0,Mother,Family Pension,651952,60396,Quarterly,8548503,divorced,Medical,13.0,35.0,MAHABUBNAGAR,Odisha,355813,ULIP,Institutional Alliance,0.897021864,02/04/2024 0:00,-,-,Lapsed,Surrendered,No Fraud
245.55713595793048,16.759322640476825,Wife,Army,1111043,146137,Quarterly,5263977,Married,Non Medical,22.46584450962971,22.153098100935882,Bhubaneswar,Gujrat,480012,ULIP,Bancassurance,1.0427969558783472,10/12/2014 0:00,-,-,Inforce,Reinstated,No Fraud
1023.075523,59.44596263,Son,Retired,1039299.194,101164.7167,Yearly,-40274.71154,Married,Medical,9.147425844,2.971665931,DAUSA,Rajasthan,303325,ULIP,Retail Agency,,10/5/2017 0:00,4/23/2019 0:00,5/15/2019 15:03,Claim,Death Claim Repudiated,Kickback
1070.3508024058845,35.970350880368535,Mother,Service,514019.7423,69522.59145,Yearly,382851.8433,Married,Non Medical,12.235696331965928,9.902772361838768,KANPUR DEHAT,Uttar Pradesh,209121,ULIP,Bancassurance,0.9418154118744017,12/28/2022 0:00,-,-,Inforce,-,Misappropriating Funds
1095.7359201938027,33.04656408196482,Brother,Service,20801.08284,26275.83169,Yearly,817542.4573,Married,Non Medical,13.886867019511376,10.119740725427636,CALCUTTA,West Bengal,700034,Traditional,Retail Agency,,2/24/2015 0:00,-,-,Inforce,-,Agent Dual Pan Card
993.3991168,59.80613134,Spouse,Retired,-56703.21913,1015885.898,Yearly,4275073.079,Married,Non Medical,10.04732636,10.00305695,New Delhi,Delhi,110032,ULIP,Bancassurance,1.023284567,3/26/2021 0:00,-,-,Cancellation,Other Reason,Misselling 
977.624404422914,60.31964952108648,Spouse,Retired,-41456.66255,178917.0539,Yearly,835166.2116,Married,Non Medical,14.73098501088074,10.060035205116217,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
1031.0,45.0,Spouse,Business,200000,5000,Yearly,190000,Married,Non Medical,15.0,10.0,Murshidabad,West Bengal,742202,Traditional,Retail Agency,,2/10/2022 0:00,-,-,Cancellation,Other Reason,Claims Fraud
1082.498499,32.93143089,Brother,Service,126798.0171,2867.479407,Yearly,1151437.931,Married,Non Medical,14.9860893,10.00450951,CALCUTTA,West Bengal,700034,Traditional,Retail Agency,,2/24/2015 0:00,-,-,Inforce,-,Agent Dual Pan Card
1193.387149859849,42.510908932818346,Wife,Business,1650000,159885,Half yearly,500000,Married,Medical,35.71490116588542,9.653766333192037,BHAVNAGAR,Gujarat,364002,Traditional,Retail Agency,,1/12/2023 0:00,-,-,Cancellation,Other Reason,Impersonation
953.209983,46.8294024,Husband,Service,18773.00987,74724.99512,Yearly,1507354.949,Married,Non Medical,10.52392001,10.0112221,Thane,Maharashtra,401304,ULIP,Retail Agency,,3/3/2021 0:00,-,-,Inforce,-,Misappropriating Funds
1016.4361593663704,61.46338018443152,Spouse,Retired,-175258.1279,172835.3761,Yearly,873275.0005,Married,Non Medical,14.729953901619249,10.00617999915354,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
